100
39 67
23 27 34
2 17 2
2 20 2
18 11 2
7 3 26
12 38 38
34 11 2
22 5 18
6 34 34
6 31 18
14 38 34
15 27 18
8 24 2
28 4 2
37 8 2
36 37 2
17 7 2
19 18 2
28 8 25
31 30 18
10 7 2
6 30 34
21 4 2
27 25 2
11 10 2
27 10 18
6 1 2
20 19 2
1 3 25
22 37 18
10 37 37
17 3 2
22 26 18
5 27 27
39 14 2
32 36 25
39 24 2
6 22 18
28 17 2
25 5 2
38 23 34
14 10 18
33 29 37
38 36 2
21 34 2
13 34 34
39 10 2
6 10 18
19 5 2
14 37 18
15 37 18
28 5 2
20 21 2
10 33 37
4 25 2
32 19 2
25 37 2
7 17 2
12 10 18
18 21 2
28 15 2
6 13 34
9 4 37
36 37 2
12 35 2
8 24 2
24 30 38
59 51
58 37 58
40 45 36
35 13 29
30 44 24
40 53 51
27 43 36
27 26 36
10 11 1
35 13 29
48 10 36
26 47 24
31 57 24
14 45 29
21 46 36
55 11 36
23 53 24
10 51 36
40 48 2
52 22 24
8 11 36
36 26 36
50 40 36
36 7 36
50 28 1
5 12 24
3 26 24
26 32 24
19 55 24
26 3 24
46 34 36
31 12 10
44 34 8
23 50 36
40 50 36
26 2 26
51 34 51
36 45 48
9 53 8
20 15 24
25 48 24
15 24 24
34 49 24
58 48 58
34 56 8
10 53 36
44 11 36
42 16 36
32 23 24
19 42 36
42 46 29
25 37 24
7 24
1 6 4
2 5 4
6 3 4
1 2 4
2 5 4
7 5 5
2 7 4
5 3 4
2 4 4
4 6 4
3 1 4
2 5 4
7 6 4
2 4 4
6 1 4
1 6 4
3 5 4
1 4 4
3 4 4
6 5 4
1 5 4
1 3 4
4 6 4
4 3 4
60 120
19 48 32
46 37 46
17 29 38
5 54 38
50 54 38
6 21 56
57 31 46
17 50 38
15 31 32
12 50 56
19 59 38
19 23 46
9 20 49
17 54 38
14 16 56
53 35 26
33 44 38
21 60 56
50 58 38
19 9 32
3 5 46
31 3 32
58 10 46
36 6 56
38 57 38
5 12 38
29 40 56
2 58 46
48 42 60
59 8 36
15 4 38
16 28 38
30 3 38
59 43 38
32 11 38
37 14 38
29 31 38
33 26 26
43 1 46
40 27 56
46 53 38
51 7 38
16 52 38
42 34 46
58 49 15
45 44 44
39 11 56
42 15 32
47 55 38
56 47 56
41 44 38
21 4 38
33 16 56
4 39 38
59 33 56
39 59 56
25 38 38
58 16 38
32 54 38
54 10 38
7 6 56
6 58 38
2 49 46
25 10 46
56 36 56
13 48 38
28 52 45
6 3 18
44 10 46
48 45 15
38 48 38
31 40 38
58 14 38
2 36 38
18 24 32
18 58 15
24 5 46
22 46 38
44 10 46
39 58 31
48 35 38
15 6 38
59 51 38
60 24 38
35 5 38
52 16 38
31 57 46
5 47 38
50 36 14
41 29 38
39 43 38
54 15 38
47 56 56
48 22 38
59 43 38
6 50 56
44 9 44
46 16 38
13 57 38
12 51 38
57 41 38
3 15 15
43 29 18
9 1 15
19 4 44
30 34 38
19 27 48
11 10 38
22 36 14
58 43 46
6 55 38
26 43 38
18 45 15
46 37 46
47 20 38
22 5 38
6 34 52
38 21 38
22 42 38
42 40 38
20 78
14 1 13
9 1 9
16 10 16
20 6 8
14 16 13
9 10 18
10 9 18
16 2 16
20 4 8
7 10 8
19 8 16
17 18 5
2 3 2
3 10 10
15 13 8
8 11 8
18 9 18
1 13 13
10 12 12
13 11 18
8 3 3
5 13 8
13 2 8
20 5 8
19 14 16
3 9 18
7 12 12
4 10 8
6 12 12
18 20 18
11 18 18
8 1 8
16 2 16
8 17 8
19 9 16
1 5 8
10 12 12
15 17 8
18 6 8
6 15 15
15 20 8
15 12 12
15 16 16
5 4 10
8 2 11
8 18 8
1 10 18
13 9 13
12 11 12
1 17 13
1 16 16
5 19 16
18 17 18
5 20 8
6 14 8
2 14 18
11 2 18
4 18 8
10 5 8
11 18 18
8 14 8
20 14 18
4 11 8
6 8 8
14 15 8
9 2 8
6 12 12
3 18 18
9 15 8
16 4 16
17 13 13
11 5 8
16 10 16
1 11 11
2 20 8
4 20 8
18 10 18
10 12 12
60 116
1 3 1
1 4 1
2 3 2
2 4 2
3 5 3
3 6 3
4 5 4
4 6 4
5 7 5
5 8 5
6 7 6
6 8 6
7 9 7
7 10 7
8 9 8
8 10 8
9 11 9
9 12 9
10 11 10
10 12 10
11 13 11
11 14 11
12 13 12
12 14 12
13 15 13
13 16 13
14 15 14
14 16 14
15 17 15
15 18 15
16 17 16
16 18 16
17 19 17
17 20 17
18 19 18
18 20 18
19 21 19
19 22 19
20 21 20
20 22 20
21 23 21
21 24 21
22 23 22
22 24 22
23 25 23
23 26 23
24 25 24
24 26 24
25 27 25
25 28 25
26 27 26
26 28 26
27 29 27
27 30 27
28 29 28
28 30 28
29 31 29
29 32 29
30 31 30
30 32 30
31 33 31
31 34 31
32 33 32
32 34 32
33 35 33
33 36 33
34 35 34
34 36 34
35 37 35
35 38 35
36 37 36
36 38 36
37 39 37
37 40 37
38 39 38
38 40 38
39 41 39
39 42 39
40 41 40
40 42 40
41 43 41
41 44 41
42 43 42
42 44 42
43 45 43
43 46 43
44 45 44
44 46 44
45 47 45
45 48 45
46 47 46
46 48 46
47 49 47
47 50 47
48 49 48
48 50 48
49 51 49
49 52 49
50 51 50
50 52 50
51 53 51
51 54 51
52 53 52
52 54 52
53 55 53
53 56 53
54 55 54
54 56 54
55 57 55
55 58 55
56 57 56
56 58 56
57 58 57
58 59 58
59 60 59
60 57 60
3 1
1 2 3
29 51
14 2 14
2 27 27
7 16 4
6 13 24
24 19 24
3 10 24
2 26 24
16 6 24
9 13 13
22 14 13
12 26 4
10 11 24
23 29 24
27 6 24
20 4 4
21 6 24
21 7 7
26 28 24
24 27 24
11 7 7
12 3 4
20 22 24
15 3 24
16 27 24
12 14 24
28 18 24
3 19 4
18 19 4
16 13 24
1 4 4
12 26 4
27 4 24
28 23 27
12 25 4
19 4 4
9 13 13
24 10 24
4 27 24
27 5 24
2 26 24
6 9 24
23 13 13
9 25 24
16 17 4
27 16 24
18 6 24
24 5 24
22 28 27
2 4 24
27 16 24
24 20 24
41 75
23 1 30
30 28 30
38 1 30
9 14 30
37 12 2
14 25 30
4 20 35
26 18 30
18 1 30
14 21 12
18 6 12
31 1 30
20 27 30
18 13 9
28 23 30
14 2 12
26 38 30
13 26 30
4 8 30
26 33 30
35 23 30
32 4 30
38 39 30
25 40 30
17 40 20
19 40 40
32 16 30
25 9 30
7 10 30
12 26 30
25 23 30
22 11 30
15 9 30
13 12 30
37 5 30
16 1 30
11 4 2
26 17 30
40 9 39
17 14 30
6 28 30
41 6 30
29 8 30
19 21 30
20 23 30
19 33 17
27 41 30
27 40 30
33 4 30
3 39 39
16 26 30
26 14 30
19 1 39
33 16 38
34 13 30
34 30 30
12 1 25
29 32 30
23 28 30
37 29 30
31 17 30
28 33 30
25 9 30
12 34 30
33 35 31
14 23 30
9 13 32
18 14 30
21 3 30
9 23 30
40 20 30
28 11 30
22 32 30
7 9 30
3 34 30
15 39
7 6 7
9 10 4
7 2 2
7 8 2
1 13 2
10 3 7
3 5 7
2 4 2
7 14 7
2 10 2
7 3 7
4 6 4
7 12 7
11 2 2
14 12 7
7 13 2
1 6 6
3 1 7
7 14 7
13 8 2
13 2 2
8 5 2
7 13 2
11 13 2
3 11 11
13 5 2
4 10 4
11 7 11
2 10 2
3 1 7
14 7 7
12 11 11
6 9 4
8 15 2
10 7 7
6 9 4
12 5 4
11 14 11
9 2 2
47 72
32 16 2
28 39 2
2 45 2
42 5 26
13 42 26
6 31 26
11 42 26
8 3 17
47 20 26
16 11 26
15 39 8
41 23 26
25 32 26
12 20 34
3 23 26
17 2 26
47 10 26
4 22 26
18 35 26
34 16 2
7 25 26
45 43 2
47 25 42
1 21 26
13 27 13
36 19 6
29 31 26
32 11 26
23 12 26
29 41 2
6 30 40
39 29 8
15 5 26
28 32 2
26 43 26
37 11 26
25 12 26
16 1 35
38 9 43
38 40 2
36 22 2
38 35 26
24 37 26
7 17 15
25 23 33
16 25 28
29 3 2
32 21 26
16 45 2
2 37 2
31 3 11
3 6 2
45 13 26
33 15 34
34 35 26
16 47 26
4 28 26
44 41 2
26 14 26
35 41 26
6 28 2
35 28 26
14 39 2
44 21 21
9 15 34
44 12 26
19 46 2
43 11 26
3 21 45
38 42 34
16 45 2
2 26 26
26 84
11 13 7
20 1 7
9 4 7
10 14 7
18 22 7
12 26 26
13 7 7
22 6 7
26 24 26
16 2 16
25 6 7
9 1 7
14 20 7
13 4 7
20 15 7
17 14 14
13 22 7
25 7 7
21 2 7
16 7 7
23 12 15
8 25 21
8 11 21
11 24 11
22 15 7
6 22 7
22 6 7
7 17 7
20 18 20
25 1 1
21 23 7
8 13 7
15 25 7
18 17 7
16 7 7
24 10 7
9 17 7
2 14 7
13 10 15
25 15 7
19 16 26
26 16 26
18 5 26
5 22 26
20 10 7
20 18 20
2 8 7
7 4 7
19 4 26
12 4 7
15 7 7
7 15 7
18 3 7
21 10 7
25 22 7
26 2 26
24 5 26
26 3 26
10 16 7
10 5 26
22 19 26
23 24 7
11 21 21
2 21 7
26 25 26
20 21 7
21 18 7
6 2 7
13 1 7
23 5 26
20 2 7
2 3 7
11 21 21
21 23 7
24 20 7
4 11 11
24 3 3
17 25 21
16 26 26
10 5 26
8 23 7
6 13 15
2 7 7
5 21 26
29 84
3 19 11
5 2 11
18 5 7
6 15 15
5 20 11
20 9 11
26 16 11
20 24 11
10 12 11
10 23 11
14 25 11
5 4 7
15 25 8
15 11 11
5 2 11
15 23 11
29 6 11
5 28 11
6 10 15
7 14 7
4 27 11
3 25 25
14 5 7
16 18 7
6 27 8
10 6 15
21 6 8
9 16 7
5 27 11
10 3 11
2 7 11
24 9 7
19 20 11
21 5 11
24 6 11
7 17 11
28 13 11
23 29 7
25 29 11
27 1 8
12 24 11
19 1 8
3 4 7
20 17 11
8 7 11
10 27 8
16 24 7
15 22 8
19 8 8
13 26 11
23 5 7
11 12 11
26 14 11
17 3 11
12 3 11
11 4 11
2 12 11
13 26 11
17 6 8
22 20 28
21 29 11
22 5 11
23 13 24
22 8 8
11 6 11
20 27 11
15 23 11
11 5 11
24 14 24
26 1 1
15 14 11
8 19 8
5 26 11
1 10 15
19 28 11
20 23 11
6 7 11
8 14 11
20 14 11
9 1 11
3 11 11
14 29 7
7 13 7
22 19 18
37 89
3 30 33
28 14 10
13 14 10
4 33 33
19 21 33
2 12 2
18 5 33
33 23 33
31 32 33
18 2 33
16 31 33
5 14 10
35 30 33
33 3 33
26 17 33
37 8 33
9 14 9
27 9 33
4 20 10
26 2 33
12 36 33
19 16 18
32 28 33
9 17 9
24 21 33
12 33 33
19 8 33
7 8 8
37 7 33
34 22 33
36 4 33
13 3 10
13 11 33
34 16 33
18 35 33
9 30 33
26 30 33
8 36 36
35 6 33
28 13 28
14 13 10
4 35 10
28 18 33
15 13 10
15 32 33
29 14 9
16 27 33
20 3 10
19 4 33
11 10 33
19 26 33
30 31 33
10 5 10
5 30 33
34 29 33
8 31 33
24 26 33
35 3 35
18 26 33
3 26 33
3 1 33
7 1 7
31 7 33
36 33 33
6 11 6
36 28 33
14 35 9
20 6 33
26 33 33
27 26 33
33 26 33
37 10 33
24 14 33
13 23 33
3 6 33
30 7 33
35 4 10
6 33 33
23 36 36
15 32 33
